image,rd,keyIdx,encSec,entropy,rH,rV,rD,r_avg,npcr,uaci
Pepper_512,2,9,0.175375521,7.999287146909097,0.012566905015370411,-0.001497057995075251,-0.0019175153228476226,0.005327159444431095,99.61802164713542,33.45811881271064
Pepper_512,2,10,0.175883492,7.9993242958618325,-0.006579658551647243,0.006218258866462206,-0.007342989638384524,0.006713635685497991,99.6081034342448,33.40861600988051
Pepper_512,3,1,0.22953951,7.999257873181204,0.00032962554049558064,0.00046046057609328467,0.0021302155151348904,0.000973433877241252,99.6081034342448,33.44253789365681
Pepper_512,3,2,0.24104411,7.999286051963033,-0.00457373690489549,-0.007571836452006744,0.002534820612834893,0.004893464656579042,99.60708618164062,33.48040911107282
Pepper_512,3,3,0.221924408,7.999233445762878,-0.003586402547564867,0.002948822276247407,-0.0006876577698102828,0.0024076275312075192,99.61344401041667,33.46449559030969
Pepper_512,3,4,0.229920295,7.999296835361668,-0.006452132627291403,0.0022968607424458556,-0.0065300537092780366,0.005093015693005098,99.61967468261719,33.47652360504749
Pepper_512,3,5,0.227469365,7.999308598848756,-0.005549208113412547,0.0005514765197554613,-0.007054494794709738,0.004385059809292582,99.60428873697917,33.41139600167867
Pepper_512,3,6,0.218792046,7.9993355320427275,0.002133322530035854,-0.003104761594705937,-0.004371192114608161,0.003203092079783318,99.61585998535156,33.41722974590226
Pepper_512,3,7,0.223918365,7.999256231084625,0.00016014273248812048,-0.0011719282610656197,-0.0016834138360407173,0.001005161609864819,99.60136413574219,33.41346541261361
Pepper_512,3,8,0.221979301,7.999306240327658,0.0005100659000732028,0.007917271646165099,0.002603427825926896,0.0036769217907217325,99.60899353027344,33.498786477481616
Pepper_512,3,9,0.218219298,7.99928288319103,-0.0026353960711191383,0.00019425162036940113,-0.0030859832168518273,0.001971876969446789,99.61967468261719,33.493739608066534
Pepper_512,3,10,0.209027299,7.999208634948038,-0.0062869157499538175,0.0028579459274315554,0.0033681770803711468,0.0041710129192521735,99.60390726725261,33.51922926559947
Pepper_512,4,1,0.281628056,7.999297199739348,-0.0018875637494238935,0.004710240270984598,0.005165883904349061,0.003921229308252518,99.59576924641927,33.486209944182754
Pepper_512,4,2,0.275560343,7.999238969462563,-0.006172010480125503,0.006997905681360934,-0.0015517242455160415,0.004907213469000826,99.60619608561198,33.457411223766854
Pepper_512,4,3,0.301749171,7.999290919467977,-0.016880742796881575,-0.0007043663977174732,-0.004537056609845726,0.007374055268148258,99.61153666178386,33.465100955339814
Pepper_512,4,4,0.292901856,7.999208291330043,0.0050120614041973335,-0.004462424575737081,-0.0038946690764028184,0.0044563850187790775,99.60784912109375,33.45623988731234
Pepper_512,4,5,0.28874487,7.999248656351128,-0.009029898387303155,0.0019346365279559767,-0.005622046362257434,0.005528860425838855,99.60962931315105,33.44012690525429
Pepper_512,4,6,0.296885887,7.9992937048108255,0.002708608225987319,-0.00566894625131515,-0.002208338150917307,0.0035286308760732587,99.61751302083333,33.45929713031045
Pepper_512,4,7,0.28729644,7.999263783828734,-0.0002129929740892564,0.0057363600262914025,-0.007661319306805511,0.004536890769062056,99.6063232421875,33.45655802807777
Pepper_512,4,8,0.292491,7.999349765224127,0.004795679945303291,0.0024621561694084197,0.0045216288926801075,0.003926488335797273,99.61229960123698,33.48141240138633
Pepper_512,4,9,0.279534987,7.999241983023144,-0.007296121296027728,0.0011034574447069177,-0.00024930209654102677,0.002882960279091891,99.60721333821614,33.44900592479831
Pepper_512,4,10,0.260159663,7.99927682536141,-0.003290628015995176,0.004092710912585472,-0.0036808261580799843,0.0036880550288868777,99.60873921712239,33.427978216433054
