x,y,posMix,collisionProbabilityPct
365,57,79,0.8880615234375
415,57,127,0.8880615234375
465,57,231,0.8880615234375
3,58,10,0.7049560546875
53,58,76,0.6988525390625
103,58,54,0.7049560546875
153,58,64,0.6988525390625
203,58,18,0.7049560546875
253,58,20,0.6988525390625
303,58,222,0.7049560546875
353,58,72,0.6988525390625
403,58,186,0.7049560546875
453,58,92,0.6988525390625
503,58,102,0.7049560546875
41,59,231,0.8880615234375
91,59,75,0.8880615234375
141,59,119,0.8880615234375
191,59,211,0.8880615234375
241,59,55,0.8880615234375
291,59,203,0.8880615234375
341,59,7,0.8880615234375
391,59,227,0.8880615234375
441,59,199,0.8880615234375
491,59,235,0.8880615234375
29,60,228,0.6988525390625
79,60,118,0.7049560546875
129,60,120,0.6988525390625
179,60,250,0.7049560546875
229,60,204,0.6988525390625
279,60,30,0.7049560546875
329,60,176,0.6988525390625
379,60,18,0.7049560546875
429,60,116,0.6988525390625
479,60,6,0.7049560546875
17,61,159,0.8880615234375
67,61,119,0.8880615234375
117,61,23,0.8880615234375
167,61,63,0.8880615234375
217,61,143,0.8880615234375
267,61,151,0.8880615234375
317,61,215,0.8880615234375
367,61,175,0.8880615234375
417,61,63,0.8880615234375
467,61,87,0.8880615234375
5,62,252,0.6988525390625
55,62,190,0.7049560546875
105,62,248,0.6988525390625
155,62,162,0.7049560546875
205,62,20,0.6988525390625
255,62,118,0.7049560546875
305,62,144,0.6988525390625
355,62,154,0.7049560546875
405,62,44,0.6988525390625
455,62,78,0.7049560546875
505,62,40,0.6988525390625
43,63,19,0.8880615234375
93,63,111,0.8880615234375
143,63,59,0.8880615234375
193,63,127,0.8880615234375
243,63,163,0.8880615234375
293,63,79,0.8880615234375
343,63,219,0.8880615234375
393,63,63,0.8880615234375
443,63,211,0.8880615234375
493,63,207,0.8880615234375
31,64,94,0.7049560546875
81,64,240,0.6988525390625
131,64,138,0.7049560546875
181,64,76,0.6988525390625
231,64,150,0.7049560546875
281,64,104,0.6988525390625
331,64,178,0.7049560546875
381,64,116,0.6988525390625
431,64,14,0.7049560546875
481,64,160,0.6988525390625
19,65,55,0.8880615234375
69,65,47,0.8880615234375
119,65,207,0.8880615234375
169,65,39,0.8880615234375
219,65,183,0.8880615234375
269,65,95,0.8880615234375
319,65,127,0.8880615234375
369,65,199,0.8880615234375
419,65,151,0.8880615234375
469,65,239,0.8880615234375
7,66,214,0.7049560546875
57,66,176,0.6988525390625
107,66,210,0.7049560546875
157,66,100,0.6988525390625
207,66,110,0.7049560546875
257,66,136,0.6988525390625
307,66,234,0.7049560546875
357,66,92,0.6988525390625
407,66,6,0.7049560546875
457,66,64,0.6988525390625
507,66,2,0.7049560546875
45,67,183,0.8880615234375
95,67,195,0.8880615234375
145,67,87,0.8880615234375
195,67,43,0.8880615234375
245,67,103,0.8880615234375
295,67,115,0.8880615234375
345,67,199,0.8880615234375
395,67,235,0.8880615234375
445,67,119,0.8880615234375
495,67,99,0.8880615234375
33,68,248,0.6988525390625
83,68,138,0.7049560546875
133,68,236,0.6988525390625
183,68,78,0.7049560546875
233,68,224,0.6988525390625
283,68,50,0.7049560546875
333,68,4,0.6988525390625
383,68,134,0.7049560546875
433,68,136,0.6988525390625
483,68,26,0.7049560546875
21,69,23,0.8880615234375
71,69,63,0.8880615234375
121,69,31,0.8880615234375
171,69,231,0.8880615234375
221,69,55,0.8880615234375
271,69,207,0.8880615234375
321,69,47,0.8880615234375
371,69,135,0.8880615234375
421,69,183,0.8880615234375
471,69,31,0.8880615234375
9,70,152,0.6988525390625
59,70,162,0.7049560546875
109,70,68,0.6988525390625
159,70,182,0.7049560546875
209,70,32,0.6988525390625
259,70,234,0.7049560546875
309,70,236,0.6988525390625
359,70,190,0.7049560546875
409,70,200,0.6988525390625
459,70,178,0.7049560546875
509,70,244,0.6988525390625
47,71,27,0.8880615234375
97,71,143,0.8880615234375
147,71,179,0.8880615234375
